order_number,product,order_amount,sales_tax,customer,order_date,delivery_date,Description,Activity_Name
ORD_000070,Professional Kit,923,115.375,CONT00038,7/05/2019 14:12,8/05/2019 14:12,Professional Kit - $923,online order
ORD_000071,Professional Kit,829,103.625,CONT00014,9/12/2018 23:15,10/12/2018 23:15,Professional Kit - $829,online order
ORD_000072,Professional Kit,551,68.875,CONT00021,28/06/2019 2:35,2/07/2019 2:35,Professional Kit - $551,online order
ORD_000073,Professional Kit,100,12.5,CONT00075,6/05/2019 3:56,11/05/2019 3:56,Professional Kit - $100,online order
ORD_000074,Starter Kit,478,59.75,CONT00088,18/07/2019 2:10,21/07/2019 2:10,Starter Kit - $478,online order
ORD_000075,Professional Kit,169,21.125,CONT00073,12/12/2018 7:15,13/12/2018 7:15,Professional Kit - $169,online order
ORD_000076,Starter Kit,580,72.5,CONT00096,22/11/2018 3:13,27/11/2018 3:13,Starter Kit - $580,online order
ORD_000077,Starter Kit,370,46.25,CONT00088,13/01/2019 20:08,16/01/2019 20:08,Starter Kit - $370,online order
ORD_000078,Professional Kit,650,81.25,CONT00045,1/10/2018 11:50,2/10/2018 11:50,Professional Kit - $650,online order
ORD_000079,Professional Kit,159,19.875,CONT00078,31/03/2019 6:11,2/04/2019 6:11,Professional Kit - $159,online order
ORD_000080,Home Kit,467,58.375,CONT00035,23/01/2019 20:45,27/01/2019 20:45,Home Kit - $467,online order
ORD_000081,Home Kit,852,106.5,CONT00089,4/07/2019 17:27,6/07/2019 17:27,Home Kit - $852,online order
ORD_000082,Starter Kit,313,39.125,CONT00093,9/09/2018 10:57,11/09/2018 10:57,Starter Kit - $313,online order
ORD_000083,Home Kit,411,51.375,CONT00096,4/08/2018 2:00,7/08/2018 2:00,Home Kit - $411,online order
ORD_000084,Home Kit,644,80.5,CONT00058,20/12/2018 1:47,22/12/2018 1:47,Home Kit - $644,online order
ORD_000085,Starter Kit,688,86,CONT00093,18/11/2018 19:54,23/11/2018 19:54,Starter Kit - $688,online order
ORD_000086,Starter Kit,146,18.25,CONT00053,23/08/2018 5:47,24/08/2018 5:47,Starter Kit - $146,online order
ORD_000087,Professional Kit,432,54,CONT00074,2/08/2018 19:18,5/08/2018 19:18,Professional Kit - $432,online order
ORD_000088,Starter Kit,927,115.875,CONT00050,12/08/2018 9:16,15/08/2018 9:16,Starter Kit - $927,online order
ORD_000089,Professional Kit,637,79.625,CONT00016,26/06/2019 19:31,30/06/2019 19:31,Professional Kit - $637,online order
ORD_000090,Home Kit,204,25.5,CONT00094,31/12/2018 8:36,5/01/2019 8:36,Home Kit - $204,online order
ORD_000091,Professional Kit,759,94.875,CONT00014,28/12/2018 22:34,29/12/2018 22:34,Professional Kit - $759,online order
ORD_000092,Home Kit,625,78.125,CONT00036,16/01/2019 4:19,18/01/2019 4:19,Home Kit - $625,online order
ORD_000093,Professional Kit,813,101.625,CONT00023,15/04/2019 13:13,20/04/2019 13:13,Professional Kit - $813,online order
ORD_000094,Professional Kit,103,12.875,CONT0004,29/10/2018 13:39,31/10/2018 13:39,Professional Kit - $103,online order
ORD_000095,Home Kit,467,58.375,CONT00078,15/10/2018 7:51,19/10/2018 7:51,Home Kit - $467,online order
ORD_000096,Starter Kit,140,17.5,CONT00050,5/01/2019 17:41,8/01/2019 17:41,Starter Kit - $140,online order
ORD_000097,Professional Kit,906,113.25,CONT00051,1/01/2019 13:58,4/01/2019 13:58,Professional Kit - $906,online order
ORD_000098,Starter Kit,197,24.625,CONT00041,11/06/2019 6:22,16/06/2019 6:22,Starter Kit - $197,online order
ORD_000099,Starter Kit,994,124.25,CONT00026,15/09/2018 21:09,17/09/2018 21:09,Starter Kit - $994,online order
ORD_0000100,Starter Kit,369,46.125,CONT00021,9/07/2019 13:04,14/07/2019 13:04,Starter Kit - $369,online order
ORD_0000101,Starter Kit,483,60.375,CONT00014,23/04/2019 22:12,27/04/2019 22:12,Starter Kit - $483,online order
ORD_0000102,Starter Kit,506,63.25,CONT00096,28/11/2018 6:12,1/12/2018 6:12,Starter Kit - $506,online order
ORD_0000103,Professional Kit,311,38.875,CONT00032,2/03/2019 21:26,6/03/2019 21:26,Professional Kit - $311,online order
ORD_0000104,Home Kit,701,87.625,CONT00039,5/09/2018 4:15,7/09/2018 4:15,Home Kit - $701,online order
ORD_0000105,Professional Kit,397,49.625,CONT00047,1/07/2019 16:44,3/07/2019 16:44,Professional Kit - $397,online order
ORD_0000106,Professional Kit,560,70,CONT00018,27/02/2019 21:20,2/03/2019 21:20,Professional Kit - $560,online order
ORD_0000107,Home Kit,755,94.375,CONT00054,8/01/2019 6:42,12/01/2019 6:42,Home Kit - $755,online order
ORD_0000108,Home Kit,868,108.5,CONT00064,14/05/2019 18:40,18/05/2019 18:40,Home Kit - $868,online order
ORD_0000109,Home Kit,413,51.625,CONT00063,8/11/2018 13:34,13/11/2018 13:34,Home Kit - $413,online order
ORD_0000110,Professional Kit,788,98.5,CONT00074,4/04/2019 19:32,8/04/2019 19:32,Professional Kit - $788,online order
ORD_0000111,Starter Kit,281,35.125,CONT00057,16/07/2019 5:36,19/07/2019 5:36,Starter Kit - $281,online order
ORD_0000112,Starter Kit,751,93.875,CONT0007,4/02/2019 21:01,8/02/2019 21:01,Starter Kit - $751,online order
ORD_0000113,Professional Kit,536,67,CONT00063,8/06/2019 18:19,12/06/2019 18:19,Professional Kit - $536,online order
ORD_0000114,Home Kit,748,93.5,CONT00075,10/01/2019 13:10,14/01/2019 13:10,Home Kit - $748,online order
ORD_0000115,Starter Kit,792,99,CONT00067,28/08/2018 8:42,1/09/2018 8:42,Starter Kit - $792,online order
ORD_0000116,Professional Kit,581,72.625,CONT00092,25/08/2018 20:36,27/08/2018 20:36,Professional Kit - $581,online order
ORD_0000117,Home Kit,314,39.25,CONT00083,23/03/2019 9:46,28/03/2019 9:46,Home Kit - $314,online order
ORD_0000118,Starter Kit,626,78.25,CONT00032,17/02/2019 0:04,21/02/2019 0:04,Starter Kit - $626,online order
ORD_0000119,Starter Kit,507,63.375,CONT00034,15/05/2019 16:51,20/05/2019 16:51,Starter Kit - $507,online order
ORD_0000120,Home Kit,504,63,CONT00093,11/08/2018 12:31,16/08/2018 12:31,Home Kit - $504,online order
ORD_0000121,Home Kit,890,111.25,CONT00014,1/05/2019 15:32,4/05/2019 15:32,Home Kit - $890,online order
ORD_0000122,Professional Kit,864,108,CONT00093,3/05/2019 2:16,7/05/2019 2:16,Professional Kit - $864,online order
ORD_0000123,Home Kit,521,65.125,CONT00098,23/02/2019 22:48,27/02/2019 22:48,Home Kit - $521,online order
ORD_0000124,Starter Kit,972,121.5,CONT00073,20/01/2019 17:01,23/01/2019 17:01,Starter Kit - $972,online order
ORD_0000125,Starter Kit,266,33.25,CONT00096,27/03/2019 3:16,30/03/2019 3:16,Starter Kit - $266,online order
ORD_0000126,Home Kit,183,22.875,CONT00070,14/03/2019 18:32,19/03/2019 18:32,Home Kit - $183,online order
ORD_0000127,Starter Kit,874,109.25,CONT00041,17/07/2019 0:09,20/07/2019 0:09,Starter Kit - $874,online order
ORD_0000128,Professional Kit,520,65,CONT00094,15/10/2018 18:43,16/10/2018 18:43,Professional Kit - $520,online order
ORD_0000129,Home Kit,442,55.25,CONT000100,22/11/2018 23:26,27/11/2018 23:26,Home Kit - $442,online order
ORD_0000130,Starter Kit,923,115.375,CONT00043,26/07/2019 9:30,31/07/2019 9:30,Starter Kit - $923,online order
ORD_0000131,Professional Kit,405,50.625,CONT00076,17/04/2019 22:08,20/04/2019 22:08,Professional Kit - $405,online order
ORD_0000132,Starter Kit,833,104.125,CONT00066,26/05/2019 13:16,29/05/2019 13:16,Starter Kit - $833,online order
ORD_0000133,Home Kit,256,32,CONT00075,19/04/2019 13:31,23/04/2019 13:31,Home Kit - $256,online order
ORD_0000134,Home Kit,719,89.875,CONT00073,30/07/2018 4:22,3/08/2018 4:22,Home Kit - $719,online order
ORD_0000135,Home Kit,254,31.75,CONT00039,15/06/2019 13:32,16/06/2019 13:32,Home Kit - $254,online order
ORD_0000136,Starter Kit,947,118.375,CONT00041,3/08/2018 1:32,7/08/2018 1:32,Starter Kit - $947,online order
ORD_0000137,Starter Kit,252,31.5,CONT00051,10/04/2019 13:32,11/04/2019 13:32,Starter Kit - $252,online order
ORD_0000138,Starter Kit,651,81.375,CONT00062,27/07/2019 12:15,30/07/2019 12:15,Starter Kit - $651,online order
ORD_0000139,Professional Kit,801,100.125,CONT00064,28/03/2019 23:06,2/04/2019 23:06,Professional Kit - $801,online order
ORD_0000140,Home Kit,161,20.125,CONT00064,20/03/2019 8:51,22/03/2019 8:51,Home Kit - $161,online order
ORD_0000141,Home Kit,490,61.25,CONT0007,6/03/2019 0:25,9/03/2019 0:25,Home Kit - $490,online order
ORD_0000142,Starter Kit,119,14.875,CONT00040,6/03/2019 7:01,7/03/2019 7:01,Starter Kit - $119,online order
ORD_0000143,Starter Kit,769,96.125,CONT00044,8/10/2018 23:14,13/10/2018 23:14,Starter Kit - $769,online order
ORD_0000144,Professional Kit,423,52.875,CONT00030,3/04/2019 14:09,5/04/2019 14:09,Professional Kit - $423,online order
ORD_0000145,Starter Kit,528,66,CONT00065,16/08/2018 3:46,18/08/2018 3:46,Starter Kit - $528,online order
ORD_0000146,Starter Kit,807,100.875,CONT00050,1/03/2019 0:35,3/03/2019 0:35,Starter Kit - $807,online order
ORD_0000147,Home Kit,281,35.125,CONT00011,3/11/2018 10:04,8/11/2018 10:04,Home Kit - $281,online order
ORD_0000148,Professional Kit,531,66.375,CONT00049,8/09/2018 23:24,12/09/2018 23:24,Professional Kit - $531,online order
ORD_0000149,Starter Kit,977,122.125,CONT00087,21/09/2018 17:30,25/09/2018 17:30,Starter Kit - $977,online order
ORD_0000150,Home Kit,620,77.5,CONT00035,12/09/2018 2:45,16/09/2018 2:45,Home Kit - $620,online order
ORD_0000151,Home Kit,338,42.25,CONT00080,30/08/2018 9:03,4/09/2018 9:03,Home Kit - $338,online order
ORD_0000152,Starter Kit,282,35.25,CONT00020,27/11/2018 20:55,28/11/2018 20:55,Starter Kit - $282,online order
ORD_0000153,Home Kit,937,117.125,CONT00026,22/07/2019 12:11,26/07/2019 12:11,Home Kit - $937,online order
ORD_0000154,Professional Kit,709,88.625,CONT00067,18/09/2018 5:54,19/09/2018 5:54,Professional Kit - $709,online order
ORD_0000155,Professional Kit,265,33.125,CONT00092,3/07/2019 14:33,4/07/2019 14:33,Professional Kit - $265,online order
ORD_0000156,Professional Kit,244,30.5,CONT00028,18/03/2019 21:27,22/03/2019 21:27,Professional Kit - $244,online order
ORD_0000157,Home Kit,423,52.875,CONT00059,9/11/2018 0:11,11/11/2018 0:11,Home Kit - $423,online order
ORD_0000158,Professional Kit,706,88.25,CONT00064,14/12/2018 12:01,17/12/2018 12:01,Professional Kit - $706,online order
ORD_0000159,Home Kit,780,97.5,CONT00075,18/02/2019 19:02,22/02/2019 19:02,Home Kit - $780,online order
ORD_0000160,Home Kit,260,32.5,CONT00084,22/08/2018 4:02,24/08/2018 4:02,Home Kit - $260,online order
ORD_0000161,Home Kit,251,31.375,CONT00060,4/02/2019 2:13,7/02/2019 2:13,Home Kit - $251,online order
ORD_0000162,Professional Kit,797,99.625,CONT0004,24/02/2019 22:13,27/02/2019 22:13,Professional Kit - $797,online order
ORD_0000163,Home Kit,986,123.25,CONT00080,22/08/2018 8:21,23/08/2018 8:21,Home Kit - $986,online order
ORD_0000164,Home Kit,624,78,CONT00031,11/02/2019 7:13,13/02/2019 7:13,Home Kit - $624,online order
ORD_0000165,Professional Kit,590,73.75,CONT00032,22/10/2018 20:21,26/10/2018 20:21,Professional Kit - $590,online order
ORD_0000166,Professional Kit,603,75.375,CONT00059,31/10/2018 7:02,2/11/2018 7:02,Professional Kit - $603,online order
ORD_0000167,Home Kit,205,25.625,CONT00016,6/07/2019 7:43,9/07/2019 7:43,Home Kit - $205,online order
ORD_0000168,Starter Kit,854,106.75,CONT00070,3/08/2018 22:05,8/08/2018 22:05,Starter Kit - $854,online order
ORD_0000169,Starter Kit,679,84.875,CONT00084,25/02/2019 14:45,28/02/2019 14:45,Starter Kit - $679,online order
ORD_0000170,Starter Kit,750,93.75,CONT00031,20/12/2018 13:22,22/12/2018 13:22,Starter Kit - $750,online order
ORD_0000171,Professional Kit,165,20.625,CONT0006,8/05/2019 0:01,11/05/2019 0:01,Professional Kit - $165,online order
ORD_0000172,Professional Kit,221,27.625,CONT00045,7/09/2018 3:16,8/09/2018 3:16,Professional Kit - $221,online order
ORD_0000173,Professional Kit,588,73.5,CONT00078,6/01/2019 15:14,10/01/2019 15:14,Professional Kit - $588,online order
ORD_0000174,Professional Kit,665,83.125,CONT00080,8/04/2019 15:17,10/04/2019 15:17,Professional Kit - $665,online order
ORD_0000175,Starter Kit,465,58.125,CONT00074,16/04/2019 23:45,21/04/2019 23:45,Starter Kit - $465,online order
ORD_0000176,Professional Kit,500,62.5,CONT00053,29/01/2019 17:40,3/02/2019 17:40,Professional Kit - $500,online order
ORD_0000177,Starter Kit,212,26.5,CONT00024,13/04/2019 17:57,16/04/2019 17:57,Starter Kit - $212,online order
ORD_0000178,Starter Kit,776,97,CONT00051,9/10/2018 3:56,12/10/2018 3:56,Starter Kit - $776,online order
ORD_0000179,Home Kit,405,50.625,CONT00059,13/09/2018 20:22,14/09/2018 20:22,Home Kit - $405,online order
ORD_0000180,Home Kit,242,30.25,CONT00027,17/08/2018 4:43,19/08/2018 4:43,Home Kit - $242,online order
ORD_0000181,Starter Kit,295,36.875,CONT00084,30/10/2018 12:28,2/11/2018 12:28,Starter Kit - $295,online order
ORD_0000182,Home Kit,642,80.25,CONT00017,13/04/2019 2:06,17/04/2019 2:06,Home Kit - $642,online order
ORD_0000183,Professional Kit,834,104.25,CONT00052,24/04/2019 4:34,28/04/2019 4:34,Professional Kit - $834,online order
ORD_0000184,Home Kit,654,81.75,CONT0001,4/06/2019 8:29,7/06/2019 8:29,Home Kit - $654,online order
ORD_0000185,Starter Kit,375,46.875,CONT00093,1/10/2018 14:38,3/10/2018 14:38,Starter Kit - $375,online order
ORD_0000186,Professional Kit,652,81.5,CONT00064,26/03/2019 10:45,30/03/2019 10:45,Professional Kit - $652,online order
ORD_0000187,Professional Kit,798,99.75,CONT00056,2/06/2019 5:31,6/06/2019 5:31,Professional Kit - $798,online order
ORD_0000188,Professional Kit,443,55.375,CONT00093,1/02/2019 14:33,3/02/2019 14:33,Professional Kit - $443,online order
ORD_0000189,Starter Kit,895,111.875,CONT00048,22/05/2019 5:39,26/05/2019 5:39,Starter Kit - $895,online order
ORD_0000190,Professional Kit,137,17.125,CONT0005,4/12/2018 14:51,9/12/2018 14:51,Professional Kit - $137,online order
ORD_0000191,Professional Kit,975,121.875,CONT00079,20/06/2019 22:40,25/06/2019 22:40,Professional Kit - $975,online order
ORD_0000192,Starter Kit,151,18.875,CONT00033,21/12/2018 23:29,26/12/2018 23:29,Starter Kit - $151,online order
ORD_0000193,Professional Kit,604,75.5,CONT00092,11/08/2018 4:15,13/08/2018 4:15,Professional Kit - $604,online order
ORD_0000194,Professional Kit,870,108.75,CONT00089,2/12/2018 2:18,7/12/2018 2:18,Professional Kit - $870,online order
ORD_0000195,Professional Kit,360,45,CONT00056,6/03/2019 3:50,7/03/2019 3:50,Professional Kit - $360,online order
ORD_0000196,Home Kit,403,50.375,CONT00072,4/04/2019 23:33,8/04/2019 23:33,Home Kit - $403,online order
ORD_0000197,Starter Kit,962,120.25,CONT00068,3/02/2019 13:07,5/02/2019 13:07,Starter Kit - $962,online order
ORD_0000198,Starter Kit,754,94.25,CONT00026,4/08/2018 11:33,7/08/2018 11:33,Starter Kit - $754,online order
ORD_0000199,Home Kit,176,22,CONT00098,30/01/2019 7:25,31/01/2019 7:25,Home Kit - $176,online order
ORD_0000200,Professional Kit,526,65.75,CONT00020,28/01/2019 2:33,31/01/2019 2:33,Professional Kit - $526,online order
ORD_0000201,Professional Kit,956,119.5,CONT00063,24/06/2019 2:35,28/06/2019 2:35,Professional Kit - $956,online order
ORD_0000202,Starter Kit,764,95.5,CONT00070,17/06/2019 8:06,20/06/2019 8:06,Starter Kit - $764,online order
ORD_0000203,Professional Kit,638,79.75,CONT00071,7/08/2018 13:20,9/08/2018 13:20,Professional Kit - $638,online order
ORD_0000204,Professional Kit,197,24.625,CONT00081,17/07/2019 15:04,19/07/2019 15:04,Professional Kit - $197,online order
ORD_0000205,Home Kit,370,46.25,CONT00021,30/04/2019 5:31,3/05/2019 5:31,Home Kit - $370,online order
ORD_0000206,Starter Kit,217,27.125,CONT000100,22/10/2018 18:34,24/10/2018 18:34,Starter Kit - $217,online order
ORD_0000207,Home Kit,953,119.125,CONT00025,7/04/2019 5:39,10/04/2019 5:39,Home Kit - $953,online order
ORD_0000208,Home Kit,107,13.375,CONT00021,9/08/2018 8:56,14/08/2018 8:56,Home Kit - $107,online order
ORD_0000209,Starter Kit,124,15.5,CONT00086,23/03/2019 7:18,25/03/2019 7:18,Starter Kit - $124,online order
ORD_0000210,Professional Kit,358,44.75,CONT00041,1/12/2018 12:03,4/12/2018 12:03,Professional Kit - $358,online order
ORD_0000211,Home Kit,677,84.625,CONT00038,18/10/2018 23:10,22/10/2018 23:10,Home Kit - $677,online order
ORD_0000212,Starter Kit,458,57.25,CONT00019,26/12/2018 6:51,29/12/2018 6:51,Starter Kit - $458,online order
ORD_0000213,Professional Kit,853,106.625,CONT00035,2/03/2019 1:49,7/03/2019 1:49,Professional Kit - $853,online order
ORD_0000214,Starter Kit,254,31.75,CONT00074,11/08/2018 11:52,16/08/2018 11:52,Starter Kit - $254,online order
ORD_0000215,Starter Kit,654,81.75,CONT00045,26/01/2019 2:22,29/01/2019 2:22,Starter Kit - $654,online order
ORD_0000216,Home Kit,764,95.5,CONT00045,14/02/2019 4:24,16/02/2019 4:24,Home Kit - $764,online order
ORD_0000217,Starter Kit,151,18.875,CONT00039,13/07/2019 23:48,16/07/2019 23:48,Starter Kit - $151,online order
ORD_0000218,Home Kit,870,108.75,CONT00041,17/08/2018 10:37,19/08/2018 10:37,Home Kit - $870,online order
ORD_0000219,Professional Kit,781,97.625,CONT00071,10/04/2019 1:35,15/04/2019 1:35,Professional Kit - $781,online order
ORD_0000220,Starter Kit,772,96.5,CONT00040,7/10/2018 10:29,10/10/2018 10:29,Starter Kit - $772,online order
ORD_0000221,Professional Kit,590,73.75,CONT00024,15/07/2019 21:31,18/07/2019 21:31,Professional Kit - $590,online order
ORD_0000222,Starter Kit,536,67,CONT00094,16/10/2018 1:56,21/10/2018 1:56,Starter Kit - $536,online order
ORD_0000223,Professional Kit,974,121.75,CONT00089,8/06/2019 6:24,10/06/2019 6:24,Professional Kit - $974,online order
ORD_0000224,Professional Kit,187,23.375,CONT00031,30/08/2018 16:20,4/09/2018 16:20,Professional Kit - $187,online order
ORD_0000225,Professional Kit,160,20,CONT0007,12/03/2019 14:54,17/03/2019 14:54,Professional Kit - $160,online order
ORD_0000226,Starter Kit,733,91.625,CONT00018,28/05/2019 9:29,1/06/2019 9:29,Starter Kit - $733,online order
ORD_0000227,Professional Kit,766,95.75,CONT00047,30/04/2019 15:45,4/05/2019 15:45,Professional Kit - $766,online order
ORD_0000228,Professional Kit,721,90.125,CONT00051,14/07/2019 14:41,17/07/2019 14:41,Professional Kit - $721,online order
ORD_0000229,Home Kit,671,83.875,CONT0004,18/01/2019 4:12,23/01/2019 4:12,Home Kit - $671,online order
